facility_name,address,state_name,district_name,sub_district_name,pincode,facility_type,ownership,facility_id,latitude,longitude
Government Andhra Central Hospital 1,"Main Road, Andhra Central, Andhra Pradesh",Andhra Pradesh,Andhra Central,Block A,608239,District Hospital,Government,GEN-00001,15.622751,95.748399
Government Andhra Central Hospital 2,"Main Road, Andhra Central, Andhra Pradesh",Andhra Pradesh,Andhra Central,Block A,842482,Sub District Hospital,Government,GEN-00002,24.559731,70.273705
Government Andhra Central Hospital 3,"Main Road, Andhra Central, Andhra Pradesh",Andhra Pradesh,Andhra Central,Block C,730161,Community Health Centre,Government,GEN-00003,17.764591,71.694239
Government Andhra Central Hospital 4,"Main Road, Andhra Central, Andhra Pradesh",Andhra Pradesh,Andhra Central,Block B,811703,Primary Health Centre,Government,GEN-00004,27.797158,94.514379
Government Andhra Central Hospital 5,"Main Road, Andhra Central, Andhra Pradesh",Andhra Pradesh,Andhra Central,Block A,446935,Medical College Hospital,Government,GEN-00005,25.198134,84.219408
Government Andhra North Hospital 1,"Main Road, Andhra North, Andhra Pradesh",Andhra Pradesh,Andhra North,Block A,660026,District Hospital,Government,GEN-00006,37.095084,82.044249
Government Andhra North Hospital 2,"Main Road, Andhra North, Andhra Pradesh",Andhra Pradesh,Andhra North,Block B,253016,Sub District Hospital,Government,GEN-00007,27.675219,96.638596
Government Andhra North Hospital 3,"Main Road, Andhra North, Andhra Pradesh",Andhra Pradesh,Andhra North,Block A,839510,Community Health Centre,Government,GEN-00008,21.706191,79.181422
Government Andhra North Hospital 4,"Main Road, Andhra North, Andhra Pradesh",Andhra Pradesh,Andhra North,Block A,510870,Primary Health Centre,Government,GEN-00009,10.362784,83.785789
Government Andhra North Hospital 5,"Main Road, Andhra North, Andhra Pradesh",Andhra Pradesh,Andhra North,Block A,252345,Medical College Hospital,Government,GEN-00010,31.828255,87.666339
Government Andhra South Hospital 1,"Main Road, Andhra South, Andhra Pradesh",Andhra Pradesh,Andhra South,Block B,553252,District Hospital,Government,GEN-00011,20.970908,93.582409
Government Andhra South Hospital 2,"Main Road, Andhra South, Andhra Pradesh",Andhra Pradesh,Andhra South,Block B,223495,Sub District Hospital,Government,GEN-00012,16.833674,71.392443
Government Andhra South Hospital 3,"Main Road, Andhra South, Andhra Pradesh",Andhra Pradesh,Andhra South,Block B,248629,Community Health Centre,Government,GEN-00013,33.11489,74.926579
Government Andhra South Hospital 4,"Main Road, Andhra South, Andhra Pradesh",Andhra Pradesh,Andhra South,Block C,657368,Primary Health Centre,Government,GEN-00014,31.714967,73.032049
Government Andhra South Hospital 5,"Main Road, Andhra South, Andhra Pradesh",Andhra Pradesh,Andhra South,Block C,853319,Medical College Hospital,Government,GEN-00015,11.060869,88.890697
Government Andhra East Hospital 1,"Main Road, Andhra East, Andhra Pradesh",Andhra Pradesh,Andhra East,Block A,755717,District Hospital,Government,GEN-00016,28.709443,69.989923
